0 1 {'t': [0], 'w': [0.0036966668043451325]}
0 48 {'t': [36], 'w': [0.08815688626745312]}
0 43 {'t': [36], 'w': [0.1]}
0 46 {'t': [39], 'w': [0.1]}
0 13 {'t': [49], 'w': [0.1]}
0 41 {'t': [50], 'w': [0.1]}
0 45 {'t': [59], 'w': [0.001]}
0 29 {'t': [61], 'w': [0.001]}
0 12 {'t': [77], 'w': [0.1]}
0 4 {'t': [80], 'w': [0.001]}
1 9 {'t': [6], 'w': [0.026506446034977132]}
1 25 {'t': [6], 'w': [0.1]}
1 51 {'t': [15, 50], 'w': [0.001, 0.001]}
1 53 {'t': [17], 'w': [0.09379825012866701]}
1 44 {'t': [23], 'w': [0.01]}
1 27 {'t': [26], 'w': [0.001]}
1 30 {'t': [40], 'w': [0.001]}
1 20 {'t': [43], 'w': [0.13093232391746712]}
1 11 {'t': [45], 'w': [0.1]}
1 33 {'t': [45], 'w': [0.10213922351654542]}
1 54 {'t': [47], 'w': [0.1]}
1 12 {'t': [55], 'w': [0.01]}
1 8 {'t': [56], 'w': [0.1]}
1 26 {'t': [80], 'w': [0.001]}
1 47 {'t': [86], 'w': [0.01]}
2 3 {'t': [0], 'w': [0.003731654436290861]}
2 29 {'t': [3], 'w': [0.013185249002678248]}
2 37 {'t': [5], 'w': [0.001]}
2 43 {'t': [7], 'w': [0.1]}
2 20 {'t': [10], 'w': [0.001]}
2 38 {'t': [10], 'w': [0.03616239033594646]}
2 18 {'t': [12], 'w': [0.001]}
2 15 {'t': [14], 'w': [0.001]}
2 5 {'t': [14], 'w': [0.1]}
2 54 {'t': [23], 'w': [0.001]}
2 35 {'t': [43], 'w': [0.1]}
2 10 {'t': [47], 'w': [0.001]}
2 23 {'t': [48], 'w': [0.1]}
2 49 {'t': [81], 'w': [0.001]}
3 34 {'t': [8], 'w': [0.001]}
3 23 {'t': [18], 'w': [0.1]}
3 15 {'t': [18], 'w': [0.01]}
3 32 {'t': [22], 'w': [0.1]}
3 2 {'t': [32], 'w': [0.001]}
3 21 {'t': [35, 71], 'w': [0.01, 0.01]}
3 30 {'t': [51, 74], 'w': [0.01, 0.01]}
3 47 {'t': [51], 'w': [0.11875959033650929]}
3 19 {'t': [63], 'w': [0.001]}
3 54 {'t': [67], 'w': [0.1028244316033915]}
3 6 {'t': [68], 'w': [0.001]}
3 35 {'t': [72], 'w': [0.10313321098010218]}
3 55 {'t': [76], 'w': [0.01]}
4 5 {'t': [0], 'w': [0.0064316769070461004]}
4 48 {'t': [23], 'w': [0.01]}
4 23 {'t': [31], 'w': [0.1]}
4 24 {'t': [39], 'w': [0.01]}
4 25 {'t': [71], 'w': [0.01]}
4 40 {'t': [72], 'w': [0.09525145114872444]}
4 16 {'t': [74], 'w': [0.1]}
4 14 {'t': [85], 'w': [0.001]}
5 7 {'t': [21], 'w': [0.09750077136686208]}
5 51 {'t': [23], 'w': [0.001]}
5 10 {'t': [41], 'w': [0.001]}
5 23 {'t': [53], 'w': [0.10582965221178373]}
5 43 {'t': [62], 'w': [0.1]}
5 32 {'t': [67, 78], 'w': [0.01, 0.01]}
5 24 {'t': [70], 'w': [0.11803193679747434]}
5 35 {'t': [70], 'w': [0.1021825527813354]}
5 0 {'t': [75], 'w': [0.01]}
6 3 {'t': [0], 'w': [0.1]}
6 7 {'t': [0], 'w': [0.01]}
6 28 {'t': [8], 'w': [0.035554220764219366]}
6 23 {'t': [13], 'w': [0.01]}
6 27 {'t': [28], 'w': [0.01]}
6 45 {'t': [32], 'w': [0.01]}
6 13 {'t': [37], 'w': [0.06241180688889402]}
6 8 {'t': [48], 'w': [0.1]}
6 20 {'t': [51], 'w': [0.001]}
6 32 {'t': [57], 'w': [0.001]}
6 35 {'t': [66], 'w': [0.09996435031754623]}
6 41 {'t': [86], 'w': [0.01]}
7 2 {'t': [0, 78], 'w': [0.1, 0.1]}
7 36 {'t': [12], 'w': [0.1]}
7 38 {'t': [12], 'w': [0.001]}
7 11 {'t': [23], 'w': [0.1]}
7 13 {'t': [33], 'w': [0.1]}
7 29 {'t': [44], 'w': [0.1]}
7 34 {'t': [46], 'w': [0.13974023651443004]}
7 39 {'t': [56], 'w': [0.01]}
7 18 {'t': [77], 'w': [0.001]}
7 46 {'t': [83], 'w': [0.1]}
7 50 {'t': [88], 'w': [0.01]}
7 15 {'t': [89], 'w': [0.1804571581339393]}
8 1 {'t': [0], 'w': [0.0036966668043451325]}
8 42 {'t': [6], 'w': [0.1]}
8 50 {'t': [16], 'w': [0.1]}
8 46 {'t': [24, 39], 'w': [0.01, 0.01]}
8 40 {'t': [47], 'w': [0.1]}
8 22 {'t': [75], 'w': [0.01]}
9 10 {'t': [1, 29], 'w': [0.07349558057876256, 0.07349558057876256]}
9 49 {'t': [21], 'w': [0.1]}
9 55 {'t': [48], 'w': [0.01]}
9 1 {'t': [52, 73], 'w': [0.1, 0.1]}
9 54 {'t': [58], 'w': [0.1]}
9 3 {'t': [67], 'w': [0.01]}
9 25 {'t': [89], 'w': [0.23235800344234078]}
10 34 {'t': [11], 'w': [0.04506739990610957]}
10 3 {'t': [20], 'w': [0.06960890593729152]}
10 33 {'t': [20], 'w': [0.01]}
10 41 {'t': [24], 'w': [0.01]}
10 22 {'t': [28], 'w': [0.0709368064667671]}
10 39 {'t': [41], 'w': [0.1]}
10 55 {'t': [41], 'w': [0.001]}
10 29 {'t': [73], 'w': [0.001]}
11 12 {'t': [1], 'w': [0.1]}
11 41 {'t': [6], 'w': [0.1]}
11 32 {'t': [12], 'w': [0.0420679365202395]}
11 48 {'t': [15], 'w': [0.1]}
11 40 {'t': [17], 'w': [0.01]}
11 34 {'t': [25], 'w': [0.001]}
11 50 {'t': [37], 'w': [0.1]}
11 45 {'t': [47], 'w': [0.001]}
11 54 {'t': [65], 'w': [0.1]}
11 38 {'t': [69, 73], 'w': [0.001, 0.001]}
11 15 {'t': [74], 'w': [0.001]}
11 33 {'t': [84], 'w': [0.001]}
12 37 {'t': [12, 24], 'w': [0.001, 0.001]}
12 10 {'t': [32, 82], 'w': [0.01, 0.01]}
12 49 {'t': [33], 'w': [0.001]}
12 13 {'t': [55], 'w': [0.001]}
12 47 {'t': [60], 'w': [0.12951860971344967]}
12 36 {'t': [70], 'w': [0.01]}
12 43 {'t': [75], 'w': [0.24439565876132463]}
12 18 {'t': [82], 'w': [0.1]}
