0 1 {'t': [0], 'w': [0.01]}
0 30 {'t': [4], 'w': [0.001]}
0 13 {'t': [5], 'w': [0.053945124786854766]}
0 46 {'t': [9], 'w': [0.001]}
0 8 {'t': [27], 'w': [0.1]}
0 42 {'t': [32], 'w': [0.1]}
0 10 {'t': [34], 'w': [0.20728386657590198]}
0 3 {'t': [40], 'w': [0.01]}
0 15 {'t': [60], 'w': [0.001]}
1 28 {'t': [20], 'w': [0.001]}
1 24 {'t': [40], 'w': [0.01]}
1 58 {'t': [46], 'w': [0.1]}
1 55 {'t': [54], 'w': [0.01]}
1 14 {'t': [55], 'w': [0.01]}
1 50 {'t': [59], 'w': [0.1]}
2 3 {'t': [0], 'w': [0.01]}
2 11 {'t': [11], 'w': [0.01]}
2 57 {'t': [21], 'w': [0.1]}
2 35 {'t': [33], 'w': [0.16856338028169016]}
2 12 {'t': [39], 'w': [0.01]}
2 31 {'t': [46], 'w': [0.001]}
3 46 {'t': [13], 'w': [0.05866149369544133]}
3 34 {'t': [36], 'w': [0.1]}
3 28 {'t': [48], 'w': [0.1]}
3 4 {'t': [48], 'w': [0.1]}
3 7 {'t': [50], 'w': [0.01]}
4 1 {'t': [0], 'w': [0.007461306036874909]}
4 50 {'t': [22], 'w': [0.001]}
4 3 {'t': [38, 52], 'w': [0.001, 0.001]}
4 6 {'t': [45, 55], 'w': [0.266271751203258, 0.266271751203258]}
4 32 {'t': [48], 'w': [0.01]}
5 6 {'t': [0], 'w': [0.004479822288041481]}
5 49 {'t': [10], 'w': [0.01]}
5 22 {'t': [17], 'w': [0.001]}
5 45 {'t': [27], 'w': [0.001]}
5 2 {'t': [28], 'w': [0.18675991967315286]}
5 51 {'t': [32], 'w': [0.1708650881377625]}
5 0 {'t': [32], 'w': [0.1]}
5 35 {'t': [41], 'w': [0.001]}
6 42 {'t': [8], 'w': [0.05445783132530123]}
6 0 {'t': [10], 'w': [0.1]}
6 11 {'t': [26], 'w': [0.001]}
6 8 {'t': [27], 'w': [0.18233460339452714]}
6 36 {'t': [33], 'w': [0.01]}
6 51 {'t': [42], 'w': [0.1976263889696899]}
6 15 {'t': [42], 'w': [0.001]}
6 26 {'t': [43], 'w': [0.001]}
6 14 {'t': [54], 'w': [0.001]}
7 8 {'t': [0], 'w': [0.1]}
7 2 {'t': [1], 'w': [0.1]}
7 17 {'t': [2], 'w': [0.1]}
7 49 {'t': [13], 'w': [0.001]}
7 31 {'t': [27], 'w': [0.1]}
7 11 {'t': [37], 'w': [0.001]}
7 26 {'t': [44], 'w': [0.1072688997585289]}
7 24 {'t': [56], 'w': [0.001]}
7 57 {'t': [57], 'w': [0.01]}
8 7 {'t': [1, 11], 'w': [0.1, 0.1]}
8 10 {'t': [27, 34], 'w': [0.1, 0.1]}
8 26 {'t': [57], 'w': [0.01]}
9 10 {'t': [1], 'w': [0.001]}
9 20 {'t': [2], 'w': [0.1]}
9 21 {'t': [5], 'w': [0.001]}
9 8 {'t': [11], 'w': [0.01]}
9 27 {'t': [13], 'w': [0.01]}
9 45 {'t': [13], 'w': [0.19312811342444758]}
9 50 {'t': [28], 'w': [0.07877902731123118]}
9 42 {'t': [57], 'w': [0.19876840696117806]}
9 0 {'t': [58], 'w': [0.1]}
10 39 {'t': [11], 'w': [0.08336491095111785]}
10 3 {'t': [25], 'w': [0.01]}
10 22 {'t': [39], 'w': [0.24765931742675923]}
10 55 {'t': [48], 'w': [0.001]}
10 37 {'t': [49], 'w': [0.21028037383177567]}
10 33 {'t': [55], 'w': [0.001]}
11 12 {'t': [1], 'w': [0.01]}
11 53 {'t': [14], 'w': [0.17656765676567657]}
11 29 {'t': [19], 'w': [0.001]}
11 39 {'t': [53], 'w': [0.01]}
12 6 {'t': [10], 'w': [0.01]}
12 38 {'t': [15], 'w': [0.1]}
12 25 {'t': [16], 'w': [0.001]}
12 44 {'t': [29], 'w': [0.2631829884619052]}
12 51 {'t': [44], 'w': [0.20158240735354005]}
