0 1 {'t': [0], 'w': [0.001]}
0 54 {'t': [6], 'w': [0.1]}
0 66 {'t': [14], 'w': [0.1]}
0 37 {'t': [18], 'w': [0.001]}
0 64 {'t': [53], 'w': [0.001]}
0 10 {'t': [56], 'w': [0.13155036654900895]}
0 52 {'t': [70], 'w': [0.01]}
0 74 {'t': [70], 'w': [0.01]}
1 42 {'t': [5], 'w': [0.001]}
1 47 {'t': [7], 'w': [0.01]}
1 43 {'t': [12], 'w': [0.033780517283055346]}
1 4 {'t': [22], 'w': [0.11548523206751055]}
1 44 {'t': [25], 'w': [0.1]}
1 65 {'t': [28], 'w': [0.1]}
1 31 {'t': [29], 'w': [0.01]}
1 73 {'t': [33], 'w': [0.1]}
1 21 {'t': [46], 'w': [0.001]}
1 17 {'t': [47, 53], 'w': [0.001, 0.001]}
1 49 {'t': [49], 'w': [0.01]}
2 3 {'t': [0], 'w': [0.1]}
2 18 {'t': [4, 39], 'w': [0.1, 0.1]}
2 69 {'t': [18], 'w': [0.001]}
2 48 {'t': [18], 'w': [0.001]}
2 67 {'t': [21], 'w': [0.001]}
2 73 {'t': [27], 'w': [0.08020302017638635]}
2 30 {'t': [31], 'w': [0.01]}
2 71 {'t': [35], 'w': [0.0889759373251259]}
2 7 {'t': [37], 'w': [0.001]}
2 12 {'t': [57], 'w': [0.001]}
2 76 {'t': [64], 'w': [0.1]}
2 54 {'t': [67], 'w': [0.06406436992335701]}
3 14 {'t': [3], 'w': [0.1]}
3 47 {'t': [6], 'w': [0.1]}
3 26 {'t': [8], 'w': [0.01]}
3 56 {'t': [19], 'w': [0.01]}
3 52 {'t': [20], 'w': [0.01]}
3 62 {'t': [25], 'w': [0.001]}
3 64 {'t': [38], 'w': [0.1]}
3 15 {'t': [40], 'w': [0.01]}
3 69 {'t': [44], 'w': [0.1]}
3 28 {'t': [51], 'w': [0.1]}
3 37 {'t': [61], 'w': [0.001]}
4 5 {'t': [0], 'w': [0.001]}
4 64 {'t': [26], 'w': [0.01]}
4 13 {'t': [32], 'w': [0.1]}
4 54 {'t': [35], 'w': [0.048582995951417005]}
4 65 {'t': [36], 'w': [0.001]}
4 55 {'t': [47], 'w': [0.09988930706220943]}
4 74 {'t': [60], 'w': [0.01]}
4 45 {'t': [69], 'w': [0.001]}
5 16 {'t': [1], 'w': [0.009530292716133424]}
5 20 {'t': [7], 'w': [0.1]}
5 50 {'t': [10, 56], 'w': [0.1, 0.1]}
5 42 {'t': [25], 'w': [0.08823615458880665]}
5 46 {'t': [66], 'w': [0.12092116661853884]}
6 7 {'t': [0], 'w': [0.01]}
6 29 {'t': [3, 63], 'w': [0.1, 0.1]}
6 28 {'t': [16], 'w': [0.1]}
6 40 {'t': [17], 'w': [0.047752508504311]}
6 62 {'t': [29], 'w': [0.11491501077328226]}
6 47 {'t': [29], 'w': [0.01]}
6 20 {'t': [30], 'w': [0.09429980816662098]}
