0 1 {'t': [0], 'w': [0.1]}
0 65 {'t': [10, 22], 'w': [0.30370426027500186, 0.30370426027500186]}
0 17 {'t': [13], 'w': [0.01]}
0 25 {'t': [42], 'w': [0.001]}
0 50 {'t': [43], 'w': [0.01]}
0 13 {'t': [45], 'w': [0.18790515939969807]}
0 28 {'t': [49], 'w': [0.01]}
0 43 {'t': [49], 'w': [0.10548523206751056]}
0 58 {'t': [53], 'w': [0.1]}
0 66 {'t': [54], 'w': [0.09683098591549294]}
1 40 {'t': [3, 25], 'w': [0.1, 0.1]}
1 3 {'t': [15], 'w': [0.1]}
1 37 {'t': [19], 'w': [0.1]}
1 18 {'t': [23], 'w': [0.053839190837892084]}
1 50 {'t': [28], 'w': [0.01]}
1 4 {'t': [31], 'w': [0.01]}
1 26 {'t': [56], 'w': [0.001]}
1 51 {'t': [60], 'w': [0.001]}
2 3 {'t': [0], 'w': [0.001]}
2 41 {'t': [5], 'w': [0.01]}
2 40 {'t': [13], 'w': [0.1]}
2 63 {'t': [13], 'w': [0.01]}
2 58 {'t': [17], 'w': [0.01]}
2 34 {'t': [24], 'w': [0.1]}
2 4 {'t': [43], 'w': [0.1]}
2 82 {'t': [46], 'w': [0.001]}
2 81 {'t': [46], 'w': [0.1]}
2 23 {'t': [67], 'w': [0.1]}
3 56 {'t': [13], 'w': [0.1]}
3 9 {'t': [15], 'w': [0.05026264290864147]}
3 67 {'t': [17], 'w': [0.01]}
3 37 {'t': [18, 47], 'w': [0.01, 0.01]}
3 14 {'t': [28], 'w': [0.001]}
3 17 {'t': [44, 51], 'w': [0.001, 0.001]}
3 71 {'t': [48], 'w': [0.1]}
3 82 {'t': [60], 'w': [0.01]}
4 5 {'t': [0], 'w': [0.003800699106697007]}
4 51 {'t': [10], 'w': [0.03440971452498831]}
4 66 {'t': [18], 'w': [0.001]}
4 62 {'t': [19], 'w': [0.07985652894799175]}
4 61 {'t': [62, 63], 'w': [0.01, 0.01]}
4 30 {'t': [64], 'w': [0.10251922910725086]}
4 23 {'t': [66], 'w': [0.1]}
4 24 {'t': [67], 'w': [0.1]}
5 68 {'t': [7], 'w': [0.01]}
5 76 {'t': [16], 'w': [0.0620962386041176]}
5 24 {'t': [17], 'w': [0.001]}
5 31 {'t': [25], 'w': [0.15201503445395695]}
5 13 {'t': [31], 'w': [0.01]}
5 26 {'t': [33], 'w': [0.1]}
5 79 {'t': [39], 'w': [0.1]}
5 60 {'t': [55], 'w': [0.13106519009019296]}
5 51 {'t': [57], 'w': [0.01]}
5 52 {'t': [64], 'w': [0.001]}
6 7 {'t': [0], 'w': [0.1]}
6 77 {'t': [12, 60], 'w': [0.12558601509733808, 0.12558601509733808]}
6 79 {'t': [14], 'w': [0.1]}
6 15 {'t': [19], 'w': [0.08563445698319969]}
6 68 {'t': [28], 'w': [0.0753210856148879]}
6 21 {'t': [37], 'w': [0.001]}
6 28 {'t': [39], 'w': [0.1]}
6 75 {'t': [39], 'w': [0.001]}
6 32 {'t': [45], 'w': [0.1]}
6 36 {'t': [48], 'w': [0.1]}
6 66 {'t': [52], 'w': [0.001]}
6 44 {'t': [53], 'w': [0.20139413044443458]}
6 72 {'t': [54], 'w': [0.14375236175840783]}
6 30 {'t': [54], 'w': [0.01]}
6 47 {'t': [62], 'w': [0.1]}
