0 1 {'t': [0], 'w': [0.0024557378977707136]}
0 2 {'t': [0], 'w': [0.001]}
0 51 {'t': [7], 'w': [0.1]}
0 41 {'t': [14], 'w': [0.027747551686615888]}
0 5 {'t': [16, 64], 'w': [0.1, 0.1]}
0 12 {'t': [20], 'w': [0.001]}
0 61 {'t': [25], 'w': [0.1]}
0 53 {'t': [26], 'w': [0.1]}
0 65 {'t': [32], 'w': [0.1]}
0 54 {'t': [35], 'w': [0.001]}
0 62 {'t': [43], 'w': [0.001]}
0 57 {'t': [48], 'w': [0.1]}
0 73 {'t': [60], 'w': [0.1369635924876718]}
0 14 {'t': [62], 'w': [0.1]}
0 68 {'t': [65], 'w': [0.1]}
1 15 {'t': [3], 'w': [0.01]}
1 62 {'t': [6], 'w': [0.013090039026203306]}
1 69 {'t': [10], 'w': [0.029731777020280268]}
1 34 {'t': [15], 'w': [0.01]}
1 3 {'t': [20], 'w': [0.001]}
1 39 {'t': [23], 'w': [0.001]}
1 73 {'t': [29], 'w': [0.01]}
1 32 {'t': [32], 'w': [0.07043032851677364]}
1 64 {'t': [36], 'w': [0.001]}
1 31 {'t': [36], 'w': [0.04679565158624419]}
1 11 {'t': [42], 'w': [0.1]}
1 38 {'t': [63, 82], 'w': [0.01, 0.01]}
1 29 {'t': [65], 'w': [0.09581417856278733]}
1 61 {'t': [74], 'w': [0.1]}
1 20 {'t': [78], 'w': [0.001]}
2 0 {'t': [5], 'w': [0.1]}
2 23 {'t': [7], 'w': [0.1]}
2 44 {'t': [8], 'w': [0.01]}
2 73 {'t': [8], 'w': [0.01]}
2 37 {'t': [17, 21], 'w': [0.001, 0.001]}
2 42 {'t': [17], 'w': [0.001]}
2 60 {'t': [38], 'w': [0.001]}
2 32 {'t': [39], 'w': [0.08094349764441773]}
2 48 {'t': [40], 'w': [0.001]}
2 6 {'t': [47], 'w': [0.1]}
2 58 {'t': [58], 'w': [0.1090628497778381]}
2 17 {'t': [74], 'w': [0.1]}
2 28 {'t': [74], 'w': [0.1]}
3 4 {'t': [0, 20], 'w': [0.001, 0.001]}
3 59 {'t': [4], 'w': [0.013852534248903689]}
3 47 {'t': [17], 'w': [0.1]}
3 42 {'t': [17, 71, 79], 'w': [0.223540782902862, 0.223540782902862, 0.223540782902862]}
3 34 {'t': [23], 'w': [0.1]}
3 70 {'t': [25], 'w': [0.08555802743789395]}
3 5 {'t': [42], 'w': [0.01]}
3 72 {'t': [43], 'w': [0.001]}
3 41 {'t': [57], 'w': [0.07713698464514569]}
3 62 {'t': [62], 'w': [0.01]}
3 24 {'t': [67], 'w': [0.001]}
3 8 {'t': [72], 'w': [0.13236753702855397]}
4 45 {'t': [6], 'w': [0.1]}
